"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.028593931,0.040325873,0.007945232,-0.048396975,0.078637563,0.060335565,0.012888074,0.030162597,0.07443814,0.050935492,0.049992356,0.04480505,0.066379339,-0.051867157,0.02244872,0.009277049,0.098396279,0.088680074,0.041286778,0.078797027,-0.007720624,0.028593931,-0.016970336,0.19108516,0.032673169,0.136456221,0.056712221,-0.023333833,-0.007720624,0.010841926,-0.019436974,0.149816304,0.028015651,0.067885317,0.098396279,0.169866741,0.038578864,0.137426913,0.049884763,0.109919488,-0.001175455,0.034664042,-0.030195925,-0.03616856,-0.037875388,0.210816413,0.044833474
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.832202435,0.82768029,0.815425992,0.826393425,0.865300775,0.891376793,0.841609657,0.881944954,0.849397063,0.837008834,0.828128934,0.892334998,0.903882623,0.834626734,0.879615426,0.894091725,0.886041045,0.863471746,0.908592284,0.881865144,0.833367407,0.832202435,0.84238559,0.880673528,0.871157169,0.906146169,0.867932856,0.86897999,0.833367407,0.823828578,0.832269013,0.833014607,0.87495774,0.832981408,0.886041045,0.874992251,0.887517989,0.887936652,0.827489316,0.885505259,0.85668087,0.880300522,0.886985719,0.873536229,0.874328136,0.870423377,0.894589841
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.5692413,0.5624283,0.56095356,0.5604466,0.5590965,0.5584128,0.56450254,0.5303026,0.55974257,0.5526351,0.55380243,0.53365827,0.53425586,0.548724,0.541311,0.5489781,0.55044514,0.5565685,0.5096911,0.52795124,0.5580728,0.5692413,0.5534096,0.5422436,0.551709,0.5769049,0.55364436,0.5485863,0.5580728,0.55371445,0.5628145,0.5638514,0.54533535,0.5599233,0.55044514,0.55794746,0.5387111,0.54251826,0.5558765,0.54163975,0.55402,0.54309046,0.5313627,0.55612063,0.54902524,0.55502087,0.5423114
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.064979538,0.0707945,0.082765743,0.04870294,0.184144959,0.054513581,0.056452077,0.044827096,0.11480964,0.0707822,0.048664242,0.090530597,0.015178857,-0.01792728,-0.00366124,-0.019769143,0.060641982,0.061734013,0.022781609,0.107570276,-0.006489294,0.064979538,-0.024951588,0.157238662,0.013914516,0.113805071,0.081545785,-0.024751227,-0.006489294,0.06527824,0.00471503,0.183671057,0.023687813,0.11396414,0.060641982,0.141393602,0.045870341,0.112871647,0.036345117,0.090695426,-0.019990042,0.066781186,-0.019398823,-0.034227118,0.017921293,0.233911425,0.034182779
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.117851555,0.090162583,-0.001162891,-0.007711772,0.136144996,0.055637203,0.053486221,-0.02639756,0.15900299,0.031042218,0.080281228,0.028608214,0.019920351,0.024427311,0.120675832,0.010148072,0.025485341,0.065389387,0.049987476,0.022045026,0.001923621,0.117851555,0.035976559,0.108255774,-0.031411491,0.227800429,-0.009492675,-0.032687813,0.001923621,0.046007492,0.139371738,0.111376479,0.0631385,0.064662576,0.025485341,0.12975049,0.055207573,0.058656815,0.088419229,0.064142957,0.025009014,0.069875181,-0.007095896,0.022142466,0.024266817,0.184364945,0.130152196
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.022141734,0.035793453,-0.004609969,-0.065707877,0.079908192,0.063442603,0.028190242,0.033690378,0.067968354,0.059944995,0.050111331,0.029895436,0.076954484,-0.061244287,0.025292654,0.03132908,0.100355446,0.110777505,0.067837253,0.070292071,-0.0234852,0.022141734,-0.017044332,0.209387928,-0.007106715,0.123475403,0.054812126,-0.037150837,-0.0234852,-0.000692854,-0.039869979,0.13795799,0.014274178,0.068958133,0.100355446,0.139226004,0.039604556,0.137925401,0.040383596,0.124486521,-0.007291386,0.028853593,-0.018879224,-0.032342643,-0.031235987,0.188372701,0.054915007
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.833466828,0.828708351,0.816980183,0.827486157,0.867158115,0.892601013,0.84315443,0.883077919,0.85038799,0.838142812,0.828932285,0.893991649,0.906432688,0.836011052,0.880177379,0.895826519,0.887610793,0.865015805,0.910477042,0.882801533,0.834718943,0.833466828,0.843711257,0.883134007,0.872909367,0.9079445,0.869060576,0.871217728,0.834718943,0.825110316,0.832529724,0.833778024,0.875527084,0.833567917,0.887610793,0.876493633,0.888068974,0.888767123,0.82880491,0.886063814,0.858446062,0.880926073,0.8883394,0.876251459,0.877871454,0.870356739,0.89590162
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.5109053,0.5033842,0.50223213,0.48981622,0.4956799,0.4867825,0.49398103,0.44570044,0.48627898,0.4891425,0.47941756,0.43419585,0.44949794,0.47043043,0.46561417,0.4715526,0.4801405,0.49095026,0.4136992,0.44483888,0.48703787,0.5109053,0.48779604,0.45529696,0.46108055,0.5312308,0.49801135,0.48380512,0.48703787,0.4886769,0.50551623,0.5021205,0.47568512,0.4974787,0.4801405,0.48836866,0.45832717,0.47235793,0.47277758,0.44799712,0.4624845,0.45591053,0.44554475,0.49435762,0.48563677,0.49401733,0.4498689
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.076858297,0.071292229,0.070819572,0.035574995,0.18434386,0.060904078,0.073850937,0.061665606,0.101878189,0.088384084,0.055706374,0.101949997,0.033961121,-0.008356931,0.002513902,-0.004470066,0.073503278,0.083024099,0.041326612,0.100316636,-0.015544835,0.076858297,-0.019214856,0.171662331,-0.012903,0.134567246,0.092521995,-0.024715878,-0.015544835,0.055342801,0.00156771,0.186147407,0.036500167,0.114006273,0.073503278,0.1122659,0.031186895,0.125229955,0.040478311,0.109504566,-0.013569791,0.066503517,-0.013137318,-0.001135055,0.036676161,0.202192068,0.053406209
method getDeviceId of class TelephonyManager has parameters  returns String |||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getDeviceId of class TelephonyManager has parameters  returns String |||,0.081220254,-0.001058375,0.007538663,-0.067040823,0.017868109,0.008823011,0.073135912,0.091438845,0.111872636,0.032896537,0.140413702,0.276560217,0.00554763,0.024765024,0.040555157,0.117317602,0.010672905,0.089170188,0.059259478,-0.010804507,0.00834443,0.081220254,0.006717795,0.150767982,-0.066440888,0.303449064,-0.032904483,-0.019237561,0.00834443,0.041924141,0.035268635,0.038018301,0.018633535,0.078892969,0.010672905,0.057726905,0.022669077,0.04583887,0.114149675,0.047110729,0.066630252,-0.044343136,0.028369721,0.060734656,0.029873973,0.038475566,0.097796887
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getDeviceId of class TelephonyManager has parameters  returns String |||,0.148986191,0.056066304,0.024994172,-0.046199542,0.099729896,0.132899508,0.082453527,0.121610567,0.084027633,0.05640395,0.154317766,0.360950232,0.095199771,0.040889755,0.032980539,0.108414285,0.107504547,0.099978879,0.054294519,0.067527793,0.101003215,0.148986191,0.053789757,0.245030135,-0.062695868,0.233312428,0.0596122,-0.017360695,0.101003215,0.115288809,0.023927342,0.127385437,-0.005334396,0.107468262,0.107504547,0.099595994,0.026855325,0.109183505,0.065656722,0.081186071,0.092677794,0.006685209,0.085790053,0.072819605,0.029233364,0.095629886,0.094505869
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getDeviceId of class TelephonyManager has parameters  returns String |||,0.873645484,0.870469034,0.859635651,0.872294605,0.896049559,0.922401488,0.881440938,0.904502928,0.892299473,0.876979947,0.872375727,0.922083437,0.926944494,0.876880586,0.905129015,0.916953564,0.909259617,0.903515339,0.925855219,0.910835564,0.878014207,0.873645484,0.881205797,0.917387009,0.901377439,0.926563025,0.900525749,0.904269814,0.878014207,0.868074954,0.869836628,0.872875392,0.898401976,0.876917601,0.909259617,0.907212794,0.911014438,0.907026529,0.870949209,0.912910104,0.891054153,0.908883452,0.915261745,0.906840682,0.909850061,0.894639611,0.908988178
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getDeviceId of class TelephonyManager has parameters  returns String |||,0.28899956,0.22731593,0.28584868,0.036777582,0.18026546,0.08403533,0.09851981,0.002371093,0.11498028,0.09638728,0.15004386,0.30260447,0.07458218,0.02086599,0.019040098,0.002257501,0.065577574,0.26617295,0.10747543,0.06607117,0.19796802,0.28899956,0.072853446,0.11462064,0.05173823,0.19319054,0.06263944,0.04749242,0.19796802,0.14886265,0.33447728,0.23502676,0.08753679,0.18797329,0.065577574,0.032847043,0.055151857,0.011326161,0.043301,0.00232238,0.0410329,0.005489251,0.004766116,0.080230735,0.07563332,0.011393563,0.002321313
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getDeviceId of class TelephonyManager has parameters  returns String |||,0.104201823,0.035460778,0.084337868,-0.013965052,0.078558087,0.041969486,0.132649764,0.068846479,0.118551172,0.093803957,0.125260815,0.375360787,0.068737149,0.05500488,0.047984451,0.034910187,0.04628953,0.116994299,0.053103022,0.03410279,-0.023192666,0.104201823,-0.001071408,0.168691009,-0.046822771,0.198970944,0.040955115,-0.077406183,-0.023192666,0.069160186,-0.02951554,0.100483879,-0.045582421,0.08782427,0.04628953,0.02428994,0.047484629,0.073541775,0.061107256,0.113386981,0.057279691,0.08452411,0.070256472,-0.019868266,0.002266782,0.081131347,0.11555323
method getDeviceId of class TelephonyManager has parameters slotIndex int : of which deviceID is returned ||| returns String |||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
